Simulation,Hand,Flop,Turn,River,Player Hand,Community Cards
122,100.0,0.0,0.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
123,100.0,100.0,100.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
124,0.0,0.0,100.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
125,100.0,100.0,0.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
126,0.0,0.0,0.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
127,0.0,0.0,0.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
128,100.0,100.0,0.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
129,0.0,100.0,0.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
130,0.0,100.0,100.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
131,100.0,0.0,100.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
132,100.0,0.0,0.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
133,0.0,0.0,100.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
134,0.0,0.0,0.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
135,100.0,0.0,100.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
136,0.0,100.0,0.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
137,0.0,0.0,100.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
138,100.0,0.0,100.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
139,0.0,0.0,0.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
140,0.0,100.0,100.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
141,100.0,100.0,0.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
142,100.0,0.0,100.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
143,0.0,0.0,100.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
144,100.0,100.0,100.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
145,100.0,100.0,0.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
146,0.0,100.0,100.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
147,100.0,0.0,0.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
148,0.0,0.0,100.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
149,100.0,0.0,0.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
150,100.0,0.0,100.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
151,100.0,0.0,100.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
152,100.0,0.0,0.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
153,0.0,0.0,100.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
154,100.0,100.0,0.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
155,0.0,100.0,0.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
156,100.0,100.0,100.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
157,0.0,0.0,100.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
158,0.0,100.0,0.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
159,100.0,0.0,0.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
160,100.0,100.0,100.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
161,0.0,100.0,100.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
162,0.0,0.0,100.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
163,100.0,0.0,100.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
164,100.0,100.0,100.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
165,0.0,0.0,0.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
166,0.0,0.0,0.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
167,0.0,100.0,100.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
